v,X,Y,r,cos_theta,sin_theta,dBA
10.0,-504.0312355996989,-208.776573645064,545.5594781168521,-0.9238795325112867,-0.38268343236508967,33.104145044
10.0,-568.9695573375931,-235.6749072266473,615.8482110660268,-0.9238795325112867,-0.3826834323650896,32.112950708
10.0,-642.274395537739,-266.0387653967131,695.1927961775606,-0.9238795325112868,-0.38268343236508967,31.110583504000004
10.0,-725.0236745418788,-300.314639036823,784.7599703514607,-0.9238795325112868,-0.3826834323650897,30.099119768
10.0,-818.434196191341,-339.0065439723758,885.8667904100824,-0.9238795325112867,-0.3826834323650896,29.08010764
10.0,-923.8795325112868,-382.6834323650897,1000.0000000000001,-0.9238795325112867,-0.3826834323650896,28.055059164
10.0,70.71067811865476,70.71067811865476,100.0,0.7071067811865476,0.7071067811865476,43.82195112
10.0,79.82089280705695,79.82089280705695,112.88378916846897,0.7071067811865476,0.7071067811865476,43.269010884
10.0,90.10484834870766,90.10484834870766,127.42749857031335,0.7071067811865476,0.7071067811865476,42.65497283599999
10.0,101.71376704052383,101.71376704052383,143.8449888287663,0.7071067811865476,0.7071067811865476,41.981796056
10.0,114.81835434133248,114.81835434133248,162.37767391887212,0.7071067811865476,0.7071067811865476,41.25295478
10.0,129.61130904137536,129.61130904137536,183.2980710832436,0.7071067811865475,0.7071067811865475,40.473411548
10.0,146.31015683675886,146.31015683675886,206.913808111479,0.7071067811865476,0.7071067811865476,39.647452824
10.0,165.16044897566297,165.16044897566297,233.57214690901213,0.7071067811865475,0.7071067811865475,38.780748380000006
10.0,186.4393730113841,186.4393730113841,263.6650898730358,0.7071067811865475,0.7071067811865475,37.878669976
10.0,210.45982875718627,210.45982875718627,297.63514416313194,0.7071067811865476,0.7071067811865476,36.946678808
10.0,237.57502937858263,237.57502937858263,335.981828628378,0.7071067811865476,0.7071067811865476,35.989498456
10.0,268.18369528064744,268.18369528064744,379.269019073225,0.7071067811865475,0.7071067811865475,35.012205572
10.0,302.73591716481525,302.73591716481525,428.13323987193957,0.7071067811865476,0.7071067811865476,34.017738644
10.0,341.73977446956053,341.73977446956053,483.2930238571753,0.7071067811865475,0.7071067811865475,33.010231272000006
10.0,385.76880651702,385.76880651702,545.5594781168521,0.7071067811865475,0.7071067811865475,31.991978692
10.0,435.4704462263917,435.4704462263917,615.8482110660267,0.7071067811865476,0.7071067811865476,30.965419944
10.0,491.5755404091905,491.5755404091905,695.1927961775607,0.7071067811865475,0.7071067811865475,29.932206732
10.0,554.9090966392719,554.9090966392719,784.7599703514608,0.7071067811865475,0.7071067811865475,28.894073096
10.0,626.4024147269313,626.4024147269313,885.8667904100824,0.7071067811865475,0.7071067811865475,27.852014764
10.0,707.1067811865476,707.1067811865476,1000.0000000000001,0.7071067811865475,0.7071067811865475,26.806846484000005
10.0,-70.71067811865477,-70.71067811865474,100.0,-0.7071067811865477,-0.7071067811865475,43.18173494
10.0,-79.82089280705695,-79.82089280705694,112.88378916846895,-0.7071067811865477,-0.7071067811865475,42.665525116
10.0,-90.10484834870768,-90.10484834870763,127.42749857031335,-0.7071067811865477,-0.7071067811865474,42.074442392
10.0,-101.71376704052383,-101.71376704052382,143.8449888287663,-0.7071067811865476,-0.7071067811865475,41.41788785999999
10.0,-114.81835434133248,-114.81835434133244,162.3776739188721,-0.7071067811865477,-0.7071067811865475,40.70421856
10.0,-129.61130904137536,-129.61130904137534,183.29807108324357,-0.7071067811865476,-0.7071067811865475,39.941111024
10.0,-146.3101568367589,-146.31015683675886,206.91380811147903,-0.7071067811865476,-0.7071067811865475,39.13397086
10.0,-165.160448975663,-165.16044897566297,233.57214690901216,-0.7071067811865476,-0.7071067811865475,38.288506364
10.0,-186.43937301138416,-186.4393730113841,263.6650898730358,-0.7071067811865477,-0.7071067811865475,37.409556572
10.0,-210.4598287571863,-210.45982875718624,297.63514416313194,-0.7071067811865477,-0.7071067811865475,36.501814044
10.0,-237.5750293785827,-237.57502937858263,335.9818286283781,-0.7071067811865477,-0.7071067811865475,35.569230356000006
10.0,-268.18369528064744,-268.1836952806474,379.26901907322497,-0.7071067811865476,-0.7071067811865475,34.616193172
10.0,-302.7359171648153,-302.7359171648152,428.13323987193957,-0.7071067811865477,-0.7071067811865475,33.645142756
10.0,-341.7397744695606,-341.7397744695605,483.2930238571752,-0.7071067811865477,-0.7071067811865475,32.659825500000004
10.0,-385.76880651702,-385.7688065170199,545.559478116852,-0.7071067811865476,-0.7071067811865475,31.662316936
10.0,-435.4704462263917,-435.4704462263916,615.8482110660267,-0.7071067811865476,-0.7071067811865474,30.65493176
10.0,-491.5755404091906,-491.5755404091904,695.1927961775607,-0.7071067811865476,-0.7071067811865474,29.639288068
10.0,-554.909096639272,-554.9090966392718,784.7599703514608,-0.7071067811865477,-0.7071067811865474,28.617138548
10.0,-626.4024147269314,-626.4024147269312,885.8667904100824,-0.7071067811865476,-0.7071067811865474,27.58954422
10.0,-707.1067811865477,-707.1067811865474,1000.0,-0.7071067811865477,-0.7071067811865475,26.557409268
10.0,38.26834323650898,92.38795325112868,100.0,0.38268343236508984,0.9238795325112867,41.569318528
10.0,43.19875589736685,104.29102236506776,112.88378916846897,0.38268343236508984,0.9238795325112867,40.872828076
10.0,48.76439253058509,117.72765780822375,127.42749857031335,0.38268343236508984,0.9238795325112867,40.113151972
10.0,55.04709405351029,132.89544103321188,143.8449888287663,0.38268343236508984,0.9238795325112867,39.30017146
10.0,62.1392455947333,150.0174094704377,162.3776739188721,0.38268343236508984,0.9238795325112867,38.440729056
10.0,70.14513498803586,169.34533622260767,183.29807108324357,0.3826834323650898,0.9238795325112867,37.54242008
10.0,79.18248629183235,191.1634323081633,206.913808111479,0.38268343236508984,0.9238795325112866,36.611817772
10.0,89.38419088402377,215.7925258939557,233.57214690901213,0.38268343236508984,0.9238795325112867,35.654175812
10.0,100.90026158746323,243.59477997144677,263.66508987303587,0.3826834323650898,0.9238795325112867,34.674990460000004
10.0,113.90003856082566,274.9790178483637,297.6351441631319,0.3826834323650899,0.9238795325112866,33.677517068
10.0,128.57467939180714,310.4067347654732,335.9818286283781,0.3826834323650899,0.9238795325112866,32.665804372000004
10.0,145.13997000868247,350.39888403738536,379.26901907322497,0.3826834323650899,0.9238795325112867,31.643154236
10.0,163.83949774378016,395.5435375054301,428.13323987193957,0.38268343236508984,0.9238795325112867,30.611510656000004
10.0,184.94823320776703,446.5045329471332,483.2930238571752,0.3826834323650898,0.9238795325112867,29.572813872000005
10.0,208.77657364506405,504.0312355996988,545.559478116852,0.38268343236508984,0.9238795325112867,28.528697940000008
10.0,235.6749072266474,568.969557337593,615.8482110660267,0.38268343236508984,0.9238795325112867,27.480471212
10.0,266.0387653967132,642.2743955377389,695.1927961775606,0.38268343236508984,0.9238795325112867,26.429647564
10.0,300.3146390368231,725.0236745418787,784.7599703514607,0.38268343236508984,0.9238795325112867,25.376398204
10.0,339.00654397237594,818.4341961913409,885.8667904100824,0.3826834323650898,0.9238795325112866,24.321841988
10.0,382.68343236508986,923.8795325112868,1000.0000000000001,0.38268343236508984,0.9238795325112867,23.26603508
10.0,-38.26834323650903,-92.38795325112864,99.99999999999999,-0.3826834323650904,-0.9238795325112865,39.607611064
