116 NrObsLoc - Total Number of observer locations
X Observer location in tower-base coordinate X horizontal (m), Y Observer location in tower-base coordinate Y Lateral (m), Z Observer location in tower-base coordinate Z Vertical (m)
200.00       0.00         2.0
195.26       43.29        2.0
181.26       84.52        2.0
158.73       121.75       2.0
128.56       153.21       2.0
92.10        177.36       2.0
51.21        193.34       2.0
7.63         199.85       2.0
-36.22       196.69       2.0
-78.49       183.94       2.0
-116.73      162.45       2.0
-149.32      133.05       2.0
-174.63      97.18        2.0
-191.88      56.46        2.0
-199.61      12.43        2.0
-197.81      -29.47       2.0
-186.27      -72.74       2.0
-165.91      -112.01      2.0
-137.57      -145.14      2.0
-102.40      -171.56      2.0
-62.35       -190.03      2.0
-19.11       -199.09      2.0
24.87        -198.45      2.0
68.17        -188.02      2.0
108.11       -168.04      2.0
142.31       -140.03      2.0
169.30       -106.15      2.0
188.11       -67.92       2.0
197.88       -29.00       2.0
400.00       0.00         2.0
390.52       86.58        2.0
362.52       169.05       2.0
317.47       243.51       2.0
257.12       306.42       2.0
184.20       354.72       2.0
102.41       386.68       2.0
15.26        399.71       2.0
-72.44       393.39       2.0
-156.97      367.89       2.0
-233.45      324.90       2.0
-298.64      266.11       2.0
-349.26      194.37       2.0
-383.77      112.93       2.0
-399.21      24.87        2.0
-395.63      -58.94       2.0
-372.54      -145.48      2.0
-331.81      -224.03      2.0
-275.14      -290.28      2.0
-204.80      -343.12      2.0
-124.69      -380.06      2.0
-38.22       -398.17      2.0
49.73        -396.90      2.0
136.33       -376.05      2.0
216.23       -336.08      2.0
284.62       -280.05      2.0
338.60       -212.29      2.0
376.22       -135.84      2.0
395.77       -58.01       2.0
800.00       0.00         2.0
781.03       173.17       2.0
725.05       338.09       2.0
634.93       487.01       2.0
514.23       612.84       2.0
368.41       709.43       2.0
204.83       773.37       2.0
30.51        799.42       2.0
-144.89      786.77       2.0
-313.95      735.77       2.0
-466.90      649.81       2.0
-597.27      532.21       2.0
-698.53      388.74       2.0
-767.53      225.86       2.0
-798.42      49.74        2.0
-791.25      -117.87      2.0
-745.09      -290.96      2.0
-663.62      -448.06      2.0
-550.28      -580.57      2.0
-409.61      -686.24      2.0
-249.38      -760.11      2.0
-76.45       -796.34      2.0
99.46        -793.80      2.0
272.67       -752.10      2.0
432.45       -672.16      2.0
569.24       -560.11      2.0
677.20       -424.58      2.0
752.44       -271.69      2.0
791.53       -116.02      2.0
1600.00      0.00         2.0
1562.06      346.33       2.0
1450.09      676.19       2.0
1269.87      974.03       2.0
1028.46      1225.67      2.0
736.81       1418.87      2.0
409.66       1546.73      2.0
61.03        1598.84      2.0
-289.78      1573.54      2.0
-627.90      1471.55      2.0
-933.81      1299.61      2.0
-1194.54     1064.43      2.0
-1397.05     777.47       2.0
-1535.07     451.71       2.0
-1596.84     99.47        2.0
-1582.50     -235.74      2.0
-1490.18     -581.91      2.0
-1327.24     -896.11      2.0
-1100.57     -1161.13     2.0
-819.22      -1372.48     2.0
-498.77      -1520.23     2.0
-152.90      -1592.67     2.0
198.93       -1587.59     2.0
545.34       -1504.20     2.0
864.91       -1344.32     2.0
1138.48      -1120.21     2.0
1354.40      -849.17      2.0
1504.88      -543.37      2.0
1583.06      -232.04      2.0
