receiver_index,receiver_x_m,receiver_y_m,expected_surrogate_dba
0,0.0,2000.0,34.139446172924075
1,272.72727272727275,2000.0,33.91774178085888
2,545.4545454545455,2000.0,33.402537259323324
3,818.1818181818182,2000.0,33.166866003882355
4,1090.909090909091,2000.0,34.18527789727561
5,1363.6363636363637,2000.0,33.036213528181825
6,1636.3636363636365,2000.0,32.95375758652642
7,1909.0909090909092,2000.0,34.27084882332017
8,2181.818181818182,2000.0,34.15357782725611
9,2454.545454545455,2000.0,33.82691750948111
10,2727.2727272727275,2000.0,34.63641977657758
11,3000.0,2000.0,35.13122037735737
12,0.0,0.0,34.57713579254111
13,272.72727272727275,0.0,34.29985566629254
14,545.4545454545455,0.0,34.45283679329301
15,818.1818181818182,0.0,34.6989424132107
16,1090.909090909091,0.0,33.589701939543374
17,1363.6363636363637,0.0,34.200704436668005
18,1636.3636363636365,0.0,33.91277277887413
19,1909.0909090909092,0.0,33.1321298110034
20,2181.818181818182,0.0,33.76487656122692
21,2454.545454545455,0.0,34.421138790671435
22,2727.2727272727275,0.0,34.97847847268341
23,3000.0,0.0,35.2377645175825
24,0.0,0.0,34.57713579254111
25,0.0,181.8181818181818,34.754835168597005
26,0.0,363.6363636363636,35.03582334302977
27,0.0,545.4545454545455,35.16565388812247
28,0.0,727.2727272727273,35.17061122884046
29,0.0,909.090909090909,35.26408262342485
30,0.0,1090.909090909091,35.076048768608516
31,0.0,1272.7272727272727,35.02415492600712
32,0.0,1454.5454545454545,34.9419728260377
33,0.0,1636.3636363636363,34.46628687974254
34,0.0,1818.181818181818,34.46541250437738
35,0.0,2000.0,34.139446172924075
36,3000.0,0.0,35.2377645175825
37,3000.0,181.8181818181818,35.38114538069996
38,3000.0,363.6363636363636,35.568228004704345
39,3000.0,545.4545454545455,35.76253525059282
40,3000.0,727.2727272727273,35.804358642569795
41,3000.0,909.090909090909,35.81779656989656
42,3000.0,1090.909090909091,35.81117543667699
43,3000.0,1272.7272727272727,35.80377509646283
44,3000.0,1454.5454545454545,35.70982494252648
45,3000.0,1636.3636363636363,35.62030599715408
46,3000.0,1818.181818181818,35.35478971182854
47,3000.0,2000.0,35.13122037735737
