Feature,Importance Mean,Importance Std
cos_theta,1.8634523726499912,0.02495345482226868
sin_theta,5.047937754037932,0.06470167191567866
v,6.812083957838867,0.09103071175118503
log10_r,7.268010726099541,0.09107030603591969
